orbital_period,transit_duration,planetary_radius,stellar_magnitude,transit_depth,impact_parameter,equilibrium_temperature,stellar_radius,stellar_mass,disposition_score,object_id,dataset,disposition
6.79143,,1.72,,,,,0.609,,,EPIC 205951125.01,K2,CANDIDATE
14.353347,,2.19,,,,,0.79,,,EPIC 205957328.01,K2,CANDIDATE
1.88282,,2.6,,,,,0.257,,,EPIC 205962305.01,K2,CANDIDATE
6.4756,,1.85,,,,,1.339,,,EPIC 205969319.01,K2,CANDIDATE
2.3181466,,2.9,,,,,0.67,,,EPIC 205976958.01,K2,CANDIDATE
12.4292,,1.1126,,,,,0.814,0.945,,EPIC 205979483.01,K2,FALSE_POSITIVE
6.37733,,0.76,,,,,0.262,,,EPIC 205981465.01,K2,CANDIDATE
19.44212,,22.0,,,,,0.35,,,EPIC 205990339.01,K2,FALSE_POSITIVE
0.80032756,,21.3,,,,,0.61,,,EPIC 205996447.01,K2,CANDIDATE
8.3958,,3.95,,,,,1.996,,,EPIC 205998649.01,K2,CANDIDATE
12.26422,,2.22,,,,,0.7596,,,EPIC 205999468.01,K2,CANDIDATE
10.3631,,1.64,,,,,0.613,,,EPIC 206011849.01,K2,CANDIDATE
4.50756,,1.7,,,,,,0.928,,EPIC 206024342 b,K2,CONFIRMED
0.9116567,,1.35,,,,,0.94,,,EPIC 206024342 c,K2,CONFIRMED
14.641541,,2.94,,,,,0.94,,,EPIC 206024342 d,K2,CONFIRMED
9.3826,,2.39,,,,,1.38,,,EPIC 206028176.01,K2,CANDIDATE
5.6505,,1.33,,,,,1.012,,,EPIC 206029242.01,K2,CANDIDATE
4.2304959,,2.56,,,,,0.67,,,EPIC 206029450.01,K2,CANDIDATE
9.9487,,1.48,,,,,1.136,,,EPIC 206031623.01,K2,CANDIDATE
2.87814,,1.01,,,,,,0.221,,EPIC 206032309 b,K2,CONFIRMED
4.1107634,,1.01,,,,,0.18,,,EPIC 206032309.01,K2,CANDIDATE
1.131305,,3.93,,,,,1.122,,,EPIC 206036749.01,K2,CANDIDATE
5.2986,,1.7,,,,,0.5,,,EPIC 206042996 b,K2,CONFIRMED
0.35490972,,1.45,,,,,0.57,,,EPIC 206042996 c,K2,CONFIRMED
4.1029,,2.28,,,,,1.98,,,EPIC 206047055.01,K2,CANDIDATE
14.454495,,2.21,,,,,0.7,,,EPIC 206049452.01,K2,CANDIDATE
28.564994,,2.25,,,,,0.68,,,EPIC 206056433.01,K2,CANDIDATE
5.87975,,3.76,,,,,0.393,,,EPIC 206061524.01,K2,CANDIDATE
25.2768,,25.0,,,,,0.52,,,EPIC 206065006.01,K2,FALSE_POSITIVE
3.2920598,,4.54,,,,,0.52,,,EPIC 206114294.01,K2,CANDIDATE
7.445026,,2.2805044,,,,,0.825169,,,EPIC 206114630.01,K2,CANDIDATE
13.8543,,3.18,,,,,1.848,,,EPIC 206133795.01,K2,CANDIDATE
54.976021,,39.1,,,,,1.41,,,EPIC 206135075.01,K2,CANDIDATE
2.59824,,7.7,,,,,0.788,,,EPIC 206135170.01,K2,CANDIDATE
2.573088,,34.0,,,,,2.5,,,EPIC 206135267.01,K2,CANDIDATE
37.827,,1.42,,,,,0.577,,,EPIC 206135682.04,K2,CANDIDATE
0.3584061,,2.66,,,,,1.03,,,EPIC 206151047.01,K2,CANDIDATE
0.80858305,,,,,,,2.31125,,,EPIC 206152015.01,K2,CANDIDATE
4.00932,,1.08,,,,,0.68,,,EPIC 206155922.01,K2,CANDIDATE
20.6714,,1.47,,,,,0.655,,,EPIC 206159027.02,K2,CANDIDATE
,,7.72,,,,,1.763,,,EPIC 206169157.01,K2,CANDIDATE
,,31.1,,,,,1.763,,,EPIC 206169157.02,K2,CANDIDATE
0.367473,,3.55452348,,,,,1.26302,,,EPIC 206169375.01,K2,CANDIDATE
6.57986525,,,,,,,1.68281,1.06,,EPIC 206175552.01,K2,CANDIDATE
3.5990666,,1.62,,,,,0.78,,,EPIC 206192335.01,K2,CANDIDATE
5.01038,,4.28,,,,,1.53,,,EPIC 206208956.01,K2,CANDIDATE
